@relation seismic-bumps-weka.filters.unsupervised.attribute.RandomSubset-N0.5-S1

@attribute shift {W,N}
@attribute genergy numeric
@attribute gdenergy numeric
@attribute gdpuls numeric
@attribute nbumps numeric
@attribute nbumps3 numeric
@attribute nbumps7 numeric
@attribute nbumps89 numeric
@attribute energy numeric
@attribute class {1,0}

@data
W,39660,42,54,5,2,0,0,34000,0
W,19220,-34,-33,6,4,0,0,10700,0
W,40200,45,59,1,0,0,0,900,1
W,47010,57,63,4,1,0,0,204400,0
W,8610,-74,-69,1,1,0,0,5000,0
W,27810,-6,11,1,0,0,0,500,0
W,36600,20,37,3,3,0,0,13000,0
N,5640,6,17,1,1,0,0,5000,0
W,27870,-6,-5,0,0,0,0,0,0
W,34150,17,38,2,1,0,0,6300,0
N,3040,-43,26,0,0,0,0,0,0
N,2410,-52,-24,0,0,0,0,0,0
N,3960,-14,-27,1,1,0,0,1000,0
N,4420,-2,28,0,0,0,0,0,1
W,49520,60,49,4,3,0,0,72000,0
W,51910,57,73,0,0,0,0,0,0
W,13600,-60,-29,2,1,0,0,3600,0
W,40140,19,35,6,4,0,0,11300,0
W,31390,-7,18,2,2,0,0,6000,1
W,11230,-65,-68,4,2,0,0,25200,1
W,23200,-28,-18,3,0,0,0,40600,0
W,26670,-17,39,0,0,0,0,0,0
W,26860,-46,-44,2,2,0,0,5000,0
W,21760,-54,-48,2,0,0,0,600,1
W,17570,-61,-53,4,0,0,0,70800,0
W,11800,-47,-46,2,1,0,0,3300,0
W,40250,91,91,4,1,0,0,2900,0
W,45180,98,44,4,2,0,0,5800,0
W,25650,2,-42,4,3,0,0,16900,0
W,48530,90,87,2,1,0,0,1300,0
W,45350,14,21,4,3,0,0,6400,0
W,31710,-20,-9,2,0,0,0,1000,0
N,4520,-82,-80,0,0,0,0,0,0
N,7400,-68,-80,1,1,0,0,3000,0
W,20160,-47,-36,2,1,0,0,2700,1
W,50890,42,69,2,0,0,0,70500,0
W,40880,12,40,1,0,0,0,600,0
W,30430,-16,-19,2,1,0,0,4500,0
W,71080,88,94,5,2,0,0,4600,1
W,65490,60,72,3,2,0,0,72000,0
W,31440,-27,-22,3,1,0,0,4600,0
W,51660,19,29,1,0,0,0,500,0
W,45080,3,-6,3,1,0,0,2000,0
W,48100,10,17,4,2,0,0,12100,0
W,90330,98,75,4,2,0,0,14100,0
W,50090,-5,19,3,2,0,0,12600,1
W,36430,-31,-16,2,1,0,0,94000,0
W,65150,25,60,4,1,0,0,4100,0
W,40030,-28,-13,0,0,0,0,0,0
W,45170,-14,-10,1,1,0,0,2000,0
W,93510,86,120,3,1,0,0,5700,0
W,59240,5,29,3,2,0,0,5200,0
N,11130,-47,-40,3,2,0,0,4900,0
N,2960,-62,-34,0,0,0,0,0,0
N,10520,46,1,1,1,0,0,5000,0
W,44770,-22,2,1,1,0,0,1000,1
W,79790,39,80,3,0,0,0,21200,0
W,58160,-4,3,3,1,0,0,1900,0
W,51230,-10,8,2,2,0,0,5000,1
W,55890,-3,34,5,2,0,0,149000,0
W,29900,-50,-31,1,0,0,0,900,1
N,8660,16,188,1,0,0,0,10000,0
W,23290,-58,-37,1,0,0,0,500,0
W,21000,-61,-44,1,1,0,0,8000,0
W,24570,-52,-53,2,1,0,0,3600,0
W,56350,26,19,2,0,0,0,1000,0
W,31900,-28,-24,2,0,0,0,1100,0
W,23920,-45,-57,1,1,0,0,5000,0
W,65240,73,39,4,1,0,0,2500,0
W,49070,28,-20,2,1,0,0,2400,0
W,122820,-39,-40,1,1,0,0,3000,0
W,132520,-31,-39,1,0,0,0,200,0
N,25710,-74,-74,1,1,0,0,7000,0
N,17700,-81,-81,1,1,0,0,2000,0
N,72300,-14,-82,1,1,0,0,5000,0
N,16960,-56,-34,1,1,0,0,4000,0
W,87700,-53,-49,2,1,0,0,1600,0
W,118860,4,2,0,0,0,0,0,0
W,102710,-11,5,1,0,0,0,400,0
W,95050,-16,-22,2,2,0,0,5000,0
W,182210,63,63,6,5,0,0,17800,0
W,95020,-20,-25,1,0,0,0,600,0
N,29290,-20,24,1,0,0,0,500,0
N,11440,-68,-37,0,0,0,0,0,0
N,26800,-18,-49,1,1,0,0,3000,0
N,43650,38,90,0,0,0,0,0,0
W,154830,33,11,2,0,0,0,1100,0
W,121720,1,2,1,1,0,0,5000,0
W,111950,-8,-13,4,1,0,0,4400,0
W,190960,58,45,2,2,0,0,11000,0
W,95620,-26,-17,0,0,0,0,0,0
W,133430,5,-9,6,4,0,0,16700,0
W,253510,98,76,4,2,0,0,7100,0
W,121870,-15,-26,2,0,0,0,900,0
W,148160,1,0,2,0,0,0,1300,0
W,156780,10,6,4,1,0,0,4700,0
N,23000,-28,-17,1,1,0,0,2000,0
W,107100,-28,-21,3,0,0,0,1600,1
W,127110,-12,-9,3,1,0,0,22600,1
W,163510,13,23,2,1,0,0,72000,0
W,134890,-10,9,1,1,0,0,6000,1
W,306400,112,98,3,0,0,0,31000,1
W,83490,-49,-37,2,0,0,0,100300,1
W,92760,-42,-31,5,1,0,0,65800,0
W,105810,-27,-26,3,2,0,0,14900,0
W,128260,-10,-5,1,1,0,0,1000,0
W,95280,-32,-21,2,1,0,0,3600,1
W,186280,39,51,3,1,0,0,72500,0
W,195950,38,40,4,1,0,0,2700,0
W,117120,-22,-24,3,1,0,0,5700,0
W,273200,89,71,2,1,0,0,3400,0
W,121400,-23,-29,2,2,0,0,8000,0
W,200350,43,24,0,0,0,0,0,0
W,130940,-14,-2,1,1,0,0,2000,0
N,38450,26,85,1,1,0,0,1000,0
N,12490,-59,-39,1,0,0,0,700,1
N,12380,-56,-35,1,0,0,0,70000,0
N,12150,-52,-36,1,1,0,0,3000,0
W,166220,7,20,0,0,0,0,0,1
W,265250,64,84,2,1,0,0,23000,0
W,162190,-7,0,0,0,0,0,0,0
W,127010,-30,-22,3,3,0,0,9000,1
W,229070,30,51,2,0,0,0,100000,0
W,167100,-7,-6,1,1,0,0,7000,1
W,132470,-28,-16,5,2,0,0,54800,0
W,254750,50,66,1,1,0,0,2000,1
W,151210,-18,-12,4,2,0,0,31800,0
W,118110,-34,-15,1,1,0,0,2000,1
W,118120,-33,-14,1,0,0,0,20000,0
W,185910,8,24,8,4,0,0,11300,0
W,197590,20,44,8,0,0,0,4700,0
N,26780,18,94,0,0,0,0,0,0
N,9670,-59,-7,0,0,0,0,0,0
N,9980,-54,-13,1,1,0,0,1000,0
N,8760,-59,-33,1,0,0,0,600,0
N,7370,-63,-46,0,0,0,0,0,0
N,4580,-72,-50,1,1,0,0,1000,0
N,4610,-68,-55,0,0,0,0,0,0
N,6040,-44,-24,2,1,0,0,2400,1
W,68920,-59,-51,3,2,0,0,66000,0
W,134870,-17,4,4,2,0,0,5100,0
W,71650,-53,-40,1,1,0,0,7000,0
W,159910,12,23,3,2,0,0,4400,0
W,172530,18,44,3,1,0,0,2300,0
W,93120,-32,-38,1,1,0,0,2000,0
W,27830,-79,-90,4,4,0,0,19000,0
W,44320,-64,-85,2,2,0,0,3000,0
W,26830,-77,-88,1,0,0,0,600,0
W,29240,-71,-85,2,2,0,0,8000,0
W,47740,-42,-76,4,3,0,0,7800,0
W,36520,-55,-81,3,1,0,0,9800,0
W,28360,-60,-80,2,1,0,0,3800,0
W,29990,-55,-75,3,2,0,0,9400,0
W,21060,-61,-82,0,0,0,0,0,0
W,18240,-53,-72,2,1,0,0,2500,0
W,33660,9,28,4,2,0,0,11100,0
W,21670,-31,-34,3,1,0,0,3400,0
N,5990,-42,-64,0,0,0,0,0,0
N,6430,-33,-79,1,0,0,0,300,0
N,3020,-66,-85,1,1,0,0,2000,0
W,23400,-20,-24,3,0,0,0,2000,0
W,45990,59,94,3,1,0,0,4200,0
W,19570,-36,-21,1,0,0,0,700,0
W,32550,17,-8,9,4,0,0,13200,0
W,53860,96,96,5,4,0,0,13700,0
W,37810,26,23,6,1,0,0,5400,0
W,10130,-67,-32,1,1,0,0,2000,0
W,57860,95,92,2,1,0,0,4700,0
W,42470,26,42,2,0,0,0,1200,0
W,42840,24,5,3,3,0,0,4000,0
N,13060,96,-18,0,0,0,0,0,0
W,15930,-57,-29,2,1,0,0,2600,0
W,60340,68,96,5,2,0,0,12500,0
W,39690,6,56,2,1,0,0,1700,0
W,32930,-16,-7,1,1,0,0,3000,0
W,18210,-54,-51,3,2,0,0,7700,0
W,24790,-31,-17,1,0,0,0,600,0
W,43490,26,24,0,0,0,0,0,0
N,10850,55,49,0,0,0,0,0,0
N,3770,-47,-40,0,0,0,0,0,0
N,3650,-44,-46,1,1,0,0,4000,0
W,8380,-78,-85,1,1,0,0,6000,0
W,61110,86,62,4,0,0,0,1600,0
W,39880,15,21,3,2,0,0,2800,0
W,19170,-44,-46,2,1,0,0,4500,0
W,17750,-49,-48,1,0,0,0,400,0
W,41740,37,29,2,0,0,0,1100,0
W,35800,16,38,0,0,0,0,0,0
W,48820,57,75,5,1,0,0,3900,0
W,29470,-14,22,0,0,0,0,0,0
W,23050,-33,-32,4,2,0,0,5100,0
W,37820,16,24,3,1,0,0,4000,0
W,33800,-5,2,2,1,0,0,3400,0
W,13830,-58,-51,3,1,0,0,3900,0
W,46170,53,45,1,0,0,0,700,0
W,35510,8,3,1,0,0,0,500,0
W,31040,-10,1,5,3,0,0,9000,0
W,47690,42,63,6,2,0,0,7400,0
W,28130,-19,3,3,1,0,0,3100,0
N,4760,-23,37,0,0,0,0,0,0
N,3860,-38,12,0,0,0,0,0,0
N,2210,-64,-51,2,1,0,0,3400,0
W,12610,-61,-52,1,1,0,0,2000,0
W,39390,27,50,6,1,0,0,4800,0
W,19630,-40,-11,3,1,0,0,8300,0
W,26130,-15,-21,6,3,0,0,7700,0
W,19420,-35,-13,4,1,0,0,2800,0
W,18960,-38,-47,3,1,0,0,5800,1
W,26290,-6,-67,5,2,0,0,25300,0
W,18580,-31,-59,2,0,0,0,1200,0
W,9130,-64,-75,3,1,0,0,2000,0
N,6340,10,-70,2,1,0,0,9300,0
N,1200,-79,-74,0,0,0,0,0,0
N,1020,-81,-82,0,0,0,0,0,0
N,2360,-54,-71,0,0,0,0,0,0
N,1070,-73,-65,0,0,0,0,0,0
N,500,-83,-82,0,0,0,0,0,0
N,340,-87,-85,0,0,0,0,0,0
N,100,-96,-90,0,0,0,0,0,0
N,720,-62,-95,0,0,0,0,0,0
N,950,-40,-90,0,0,0,0,0,0
N,430,-71,-92,0,0,0,0,0,0
N,290,-67,-92,1,1,0,0,3000,0
N,3330,-42,-39,2,0,0,0,1200,0
W,11740,-90,-96,1,1,0,0,4000,0
N,850,-85,-90,0,0,0,0,0,0
W,5240,-96,-96,1,0,0,0,600,0
W,17910,-85,-79,4,4,0,0,12000,0
W,145440,-3,-28,0,0,0,0,0,0
N,67480,-10,-44,3,1,0,0,2800,0
W,239660,60,3,1,1,0,0,8000,0
W,229690,45,0,4,1,0,0,2500,0
N,49410,-33,-69,2,2,0,0,6000,0
W,197620,19,-16,0,0,0,0,0,0
N,68200,-5,-38,0,0,0,0,0,0
N,53380,-13,-8,3,1,0,0,1700,0
W,179710,5,-42,4,1,0,0,3000,0
N,29650,-51,-20,0,0,0,0,0,0
W,111510,-36,-63,2,2,0,0,5000,0
N,18400,-68,-60,0,0,0,0,0,0
N,6980,-87,-72,0,0,0,0,0,0
N,13120,-73,-81,0,0,0,0,0,0
N,9050,-79,-81,0,0,0,0,0,0
N,15400,-59,-69,1,1,0,0,1000,0
N,38800,17,-45,2,1,0,0,1700,0
W,104210,-39,-56,2,0,0,0,500,0
W,73930,-55,-76,1,1,0,0,1000,0
N,42300,37,-10,1,1,0,0,4000,0
W,178220,13,7,2,0,0,0,800,0
W,121520,-25,-26,1,0,0,0,400,0
N,22270,-23,-3,1,1,0,0,4000,0
W,254510,61,35,2,0,0,0,500,0
W,180530,7,3,0,0,0,0,0,0
N,24750,-1,28,1,1,0,0,2000,0
W,362360,122,93,4,2,0,0,10400,0
W,140610,-20,-17,1,0,0,0,800,0
N,26720,21,21,1,1,0,0,1000,0
W,211440,24,38,4,2,0,0,7300,0
W,189170,9,22,1,1,0,0,1000,0
W,232470,28,11,3,1,0,0,4000,0
W,240350,24,34,4,1,0,0,3000,0
N,40820,87,95,0,0,0,0,0,0
N,19790,-18,0,0,0,0,0,0,0
N,11230,-56,-41,0,0,0,0,0,0
N,19120,-24,-20,0,0,0,0,0,0
N,12120,-54,-49,1,0,0,0,300,0
W,147570,-30,-31,3,1,0,0,2000,0
W,140890,-32,-37,2,0,0,0,600,0
N,16210,-37,-6,1,1,0,0,9000,0
W,122030,-42,-42,1,0,0,0,500,0
W,154470,-21,-24,3,2,0,0,8400,0
W,54980,-72,-66,1,0,0,0,600,0
W,103460,-37,-29,0,0,0,0,0,0
W,85240,-47,-51,1,0,0,0,200,0
N,39890,69,39,1,0,0,0,400,0
W,120690,-18,-43,0,0,0,0,0,0
W,70740,-50,-36,0,0,0,0,0,0
W,82480,-34,-21,1,1,0,0,1000,0
W,161390,49,65,0,0,0,0,0,0
W,101050,-8,9,0,0,0,0,0,0
W,60100,-43,-52,2,0,0,0,1000,0
W,82460,-17,-16,0,0,0,0,0,0
W,65320,-29,-25,1,0,0,0,800,0
N,18870,-19,-3,2,1,0,0,4800,0
N,21900,-5,25,0,0,0,0,0,0
N,20700,-9,-22,0,0,0,0,0,0
W,51950,-44,-17,2,2,0,0,3000,0
W,129190,47,67,4,3,0,0,13500,0
W,125340,35,62,0,0,0,0,0,0
W,48630,-48,-35,0,0,0,0,0,0
N,39660,80,87,0,0,0,0,0,0
W,101040,11,11,2,1,0,0,1700,0
W,20090,-78,-62,0,0,0,0,0,0
W,105160,34,66,1,1,0,0,6000,0
W,35200,-55,-48,1,1,0,0,5000,0
N,22300,2,17,0,0,0,0,0,0
N,30650,38,66,1,0,0,0,500,0
N,20840,-14,-3,0,0,0,0,0,0
N,29560,22,103,0,0,0,0,0,0
N,28210,8,30,1,1,0,0,3000,0
N,14350,-47,-47,0,0,0,0,0,0
N,32830,33,31,0,0,0,0,0,0
W,66640,-13,-13,1,0,0,0,400,0
N,48440,86,11,0,0,0,0,0,0
N,26470,-8,-47,2,0,0,0,900,0
N,3430,-88,-74,0,0,0,0,0,0
N,12270,-52,-62,0,0,0,0,0,0
N,34050,38,13,0,0,0,0,0,0
N,28020,12,-14,0,0,0,0,0,0
N,44790,74,-3,0,0,0,0,0,0
W,68130,-9,-9,2,0,0,0,1000,0
W,107250,43,-8,0,0,0,0,0,0
N,72460,166,180,1,1,0,0,1000,0
N,58410,84,88,0,0,0,0,0,0
N,52000,44,97,0,0,0,0,0,1
N,48590,28,84,1,0,0,0,20000,0
N,19370,-49,-20,0,0,0,0,0,0
N,14770,-60,-41,0,0,0,0,0,0
N,15050,-61,-38,0,0,0,0,0,0
N,18800,-51,-23,0,0,0,0,0,0
N,29500,-21,6,1,0,0,0,300,0
N,12950,-65,-55,0,0,0,0,0,0
N,20730,-39,-46,1,0,0,0,400,0
N,41340,42,12,0,0,0,0,0,0
N,18410,-33,-61,0,0,0,0,0,0
N,9490,-60,-61,0,0,0,0,0,0
N,6370,-68,-39,0,0,0,0,0,0
N,9430,-50,-17,0,0,0,0,0,0
N,30130,65,57,3,0,0,0,500,0
N,12880,-35,12,0,0,0,0,0,0
N,16480,-14,-20,0,0,0,0,0,0
N,19040,7,0,0,0,0,0,0,0
N,15570,-16,-19,0,0,0,0,0,0
N,20250,13,-10,0,0,0,0,0,0
N,19030,20,0,1,1,0,0,9000,0
N,21730,37,18,0,0,0,0,0,0
N,24550,44,23,0,0,0,0,0,0
N,15300,-19,-45,0,0,0,0,0,0
N,32240,65,18,0,0,0,0,0,0
N,27490,39,11,0,0,0,0,0,0
N,48650,-51,-51,0,0,0,0,0,0
N,147400,55,33,1,0,0,0,700,0
N,175660,76,72,0,0,0,0,0,0
N,44730,-58,-49,0,0,0,0,0,0
N,25510,-75,-60,0,0,0,0,0,0
N,13960,-85,-74,0,0,0,0,0,0
N,4760,-94,-73,0,0,0,0,0,0
N,4790,-94,-82,0,0,0,0,0,0
N,9550,-86,-77,0,0,0,0,0,0
N,10100,-82,-75,0,0,0,0,0,0
N,11620,-76,-71,0,0,0,0,0,0
N,6910,-85,-66,0,0,0,0,0,0
N,8960,-71,-51,0,0,0,0,0,0
N,12760,-9,-35,0,0,0,0,0,0
N,12620,16,-8,0,0,0,0,0,0
N,7400,-23,-40,0,0,0,0,0,0
N,9070,1,-30,0,0,0,0,0,0
N,18250,95,68,0,0,0,0,0,0
N,11190,4,-32,0,0,0,0,0,0
N,10760,-1,-30,0,0,0,0,0,0
N,11230,2,-32,0,0,0,0,0,0
N,12430,14,-20,0,0,0,0,0,0
N,13080,14,5,0,0,0,0,0,0
N,14670,23,10,0,0,0,0,0,0
N,8110,-33,-28,0,0,0,0,0,0
N,9350,-20,10,0,0,0,0,0,0
N,11500,-3,-25,0,0,0,0,0,0
N,7990,-34,-50,0,0,0,0,0,0
N,7590,-31,-50,0,0,0,0,0,0
N,6760,-37,-40,0,0,0,0,0,0
N,6460,-37,-32,0,0,0,0,0,0
N,19260,97,32,0,0,0,0,0,0
N,14810,41,12,0,0,0,0,0,0
N,20020,88,22,0,0,0,0,0,0
N,11400,14,0,0,0,0,0,0,0
N,11500,13,-30,0,0,0,0,0,0
N,5250,-49,36,0,0,0,0,0,0
N,19420,98,20,0,0,0,0,0,0
N,5250,-49,36,0,0,0,0,0,0
N,19420,98,20,0,0,0,0,0,0
N,20060,87,12,0,0,0,0,0,0
N,7970,-32,-15,0,0,0,0,0,0
N,10330,-11,-32,0,0,0,0,0,0
N,18600,60,-42,0,0,0,0,0,0
N,4120,-67,-52,0,0,0,0,0,0
N,6790,-43,-62,0,0,0,0,0,0
N,4910,-58,-40,0,0,0,0,0,0
N,16410,51,-20,0,0,0,0,0,0
N,8280,-27,-25,0,0,0,0,0,0
N,3610,-69,-60,0,0,0,0,0,0
N,3410,-66,-60,0,0,0,0,0,0
N,7400,-12,-38,0,0,0,0,0,0
N,6650,-21,-32,0,0,0,0,0,0
N,5930,-26,-22,0,0,0,0,0,0
N,7530,12,-20,0,0,0,0,0,0
N,5170,-27,-52,0,0,0,0,0,0
N,3760,-46,-45,0,0,0,0,0,0
N,1160,-83,-50,0,0,0,0,0,0
N,5400,2,-2,0,0,0,0,0,0
N,1270,-75,-78,0,0,0,0,0,0
N,2870,-40,-45,0,0,0,0,0,0
N,1600,-66,-72,0,0,0,0,0,0
N,2720,-34,-42,0,0,0,0,0,0
N,4310,15,-28,0,0,0,0,0,0
N,4240,19,-38,0,0,0,0,0,0
N,3420,5,-65,0,0,0,0,0,0
N,2910,-5,-40,0,0,0,0,0,0
N,1560,-48,-62,0,0,0,0,0,0
N,3460,14,18,0,0,0,0,0,0
N,5020,77,-20,0,0,0,0,0,0
N,2430,-24,-52,0,0,0,0,0,0
N,2260,-29,-58,0,0,0,0,0,0
N,1480,-54,-82,0,0,0,0,0,0
N,920,-71,-78,0,0,0,0,0,0
N,1180,-57,-65,0,0,0,0,0,0
N,2290,-7,-85,0,0,0,0,0,0
N,4080,73,-52,0,0,0,0,0,0
N,3380,37,-65,0,0,0,0,0,0
N,920,-65,-78,0,0,0,0,0,0
N,3840,60,-68,0,0,0,0,0,0
N,2540,12,-52,0,0,0,0,0,0
N,590,-74,-72,0,0,0,0,0,0
N,3720,75,8,0,0,0,0,0,0
N,590,-74,-72,0,0,0,0,0,0
N,3720,75,8,0,0,0,0,0,0
N,2340,0,-52,0,0,0,0,0,0
N,2610,5,-2,0,0,0,0,0,0
N,3030,15,-28,0,0,0,0,0,0
N,3430,27,-42,0,0,0,0,0,0
N,3330,26,-58,0,0,0,0,0,0
N,1950,-26,-52,0,0,0,0,0,0
N,3610,32,-50,0,0,0,0,0,0
N,3530,30,-32,0,0,0,0,0,0
N,1150,-59,-85,0,0,0,0,0,0
N,2180,-24,-75,0,0,0,0,0,0
N,2760,2,-40,0,0,0,0,0,0
N,2740,0,-58,0,0,0,0,0,0
N,750,-73,-62,0,0,0,0,0,0
N,5050,99,38,0,0,0,0,0,0
N,1920,-29,-20,0,0,0,0,0,0
N,2820,10,-38,0,0,0,0,0,0
N,3300,24,-62,0,0,0,0,0,0
N,2150,-18,-68,0,0,0,0,0,0
N,3310,33,-58,0,0,0,0,0,0
N,2290,-15,-28,0,0,0,0,0,0
N,1380,-49,40,0,0,0,0,0,0
N,2780,8,-52,0,0,0,0,0,0
N,2920,13,-60,0,0,0,0,0,0
N,2700,-3,-65,0,0,0,0,0,0
N,780,-70,-85,0,0,0,0,0,0
N,2810,15,-82,0,0,0,0,0,0
N,2350,-4,-52,0,0,0,0,0,0
N,1490,-37,-75,0,0,0,0,0,0
N,1970,-14,-58,0,0,0,0,0,0
N,3890,81,15,0,0,0,0,0,0
N,1340,-42,-48,0,0,0,0,0,0
N,1620,-30,-72,0,0,0,0,0,0
N,2570,18,-75,0,0,0,0,0,0
N,1190,-45,-78,0,0,0,0,0,0
N,2680,34,-65,0,0,0,0,0,0
N,3390,55,-68,0,0,0,0,0,0
N,4390,95,-60,0,0,0,0,0,0
N,1870,-24,-72,0,0,0,0,0,0
N,2650,7,-55,0,0,0,0,0,0
N,3680,44,-45,0,0,0,0,0,0
N,2850,12,-75,0,0,0,0,0,0
N,2070,-23,-65,0,0,0,0,0,0
N,4720,73,-35,0,0,0,0,0,0
N,1070,-64,-75,0,0,0,0,0,0
N,3110,6,-42,0,0,0,0,0,0
N,3100,4,-45,0,0,0,0,0,0
N,3130,6,-38,0,0,0,0,0,0
N,2890,2,-30,0,0,0,0,0,0
N,2870,-2,-48,0,0,0,0,0,0
N,3090,5,-55,0,0,0,0,0,0
N,3510,22,-52,0,0,0,0,0,0
N,2970,0,-52,0,0,0,0,0,0
N,4290,41,12,0,0,0,0,0,0
N,2510,-16,-58,0,0,0,0,0,0
N,2920,-7,-50,0,0,0,0,0,0
N,6150,97,-38,0,0,0,0,0,0
N,3600,5,-50,0,0,0,0,0,0
N,1980,-43,-55,0,0,0,0,0,0
N,3210,-5,-68,0,0,0,0,0,0
N,4190,22,-38,0,0,0,0,0,0
N,560,-84,-82,0,0,0,0,0,0
N,1100,-66,-85,0,0,0,0,0,0
N,3180,4,-72,0,0,0,0,0,0
N,4350,48,-45,0,0,0,0,0,0
N,5090,63,-12,0,0,0,0,0,0
N,2440,-27,-60,0,0,0,0,0,0
N,950,-68,15,0,0,0,0,0,0
N,2440,-10,58,0,0,0,0,0,0
N,1820,-34,38,0,0,0,0,0,0
N,1650,-37,15,0,0,0,0,0,0
N,4310,83,65,0,0,0,0,0,0
N,4200,54,85,0,0,0,0,0,0
N,7130,134,142,0,0,0,0,0,0
N,5630,64,86,0,0,0,0,0,0
N,5660,59,95,0,0,0,0,0,0
N,7190,98,79,0,0,0,0,0,0
N,6220,52,40,0,0,0,0,0,0
N,4030,-13,48,0,0,0,0,0,0
N,8670,-25,-58,0,0,0,0,0,0
N,7510,-35,-53,0,0,0,0,0,0
N,3110,-73,-54,0,0,0,0,0,0
N,5550,-52,-53,0,0,0,0,0,0
N,7560,-34,-47,1,1,0,0,4000,0
N,3610,-67,-55,0,0,0,0,0,0
N,4490,-60,-49,0,0,0,0,0,0
N,3100,-72,-47,0,0,0,0,0,0
W,18470,-46,-41,0,0,0,0,0,0
W,17220,-50,-41,0,0,0,0,0,0
W,25010,-27,-41,0,0,0,0,0,0
W,17540,-23,-48,0,0,0,0,0,0
W,15170,-56,-54,0,0,0,0,0,0
W,79240,124,47,0,0,0,0,0,1
W,103380,193,187,1,0,0,0,200000,0
W,38230,61,63,0,0,0,0,0,0
W,43380,83,36,0,0,0,0,0,0
W,26450,12,3,0,0,0,0,0,0
W,27450,16,0,1,0,0,0,300,0
W,25750,9,-3,0,0,0,0,0,0
W,23310,-2,-53,1,0,0,0,700,0
W,26170,23,-19,0,0,0,0,0,0
W,42450,99,-10,0,0,0,0,0,0
W,63560,198,-33,0,0,0,0,0,0
W,58720,175,8,0,0,0,0,0,0
W,31010,45,7,0,0,0,0,0,0
W,31450,47,-40,0,0,0,0,0,0
W,31310,47,6,0,0,0,0,0,0
W,27020,334,-5,0,0,0,0,0,0
N,10160,-5,15,0,0,0,0,0,0
N,18820,75,24,1,1,0,0,4000,0
N,13780,28,20,0,0,0,0,0,0
W,14080,-38,-65,0,0,0,0,0,0
W,11690,-48,-52,0,0,0,0,0,0
W,33500,48,-53,0,0,0,0,0,0
W,58190,158,-14,0,0,0,0,0,0
W,31390,39,-26,0,0,0,0,0,0
W,25850,1,-6,0,0,0,0,0,0
W,23040,-10,-22,0,0,0,0,0,0
W,15300,-40,-41,0,0,0,0,0,0
W,14050,-45,-55,0,0,0,0,0,0
W,9450,-63,-59,0,0,0,0,0,0
W,36250,42,-28,0,0,0,0,0,0
W,24570,-4,-35,0,0,0,0,0,0
W,26860,5,-37,0,0,0,0,0,0
W,16000,-38,-36,0,0,0,0,0,0
W,21860,-16,-60,0,0,0,0,0,0
W,12900,-50,-59,0,0,0,0,0,0
W,27590,6,-35,0,0,0,0,0,0
W,15010,-42,-24,1,0,0,0,800,0
W,9970,-62,-33,0,0,0,0,0,0
W,18970,-27,-38,1,1,0,0,1000,0
W,13000,-50,-36,0,0,0,0,0,0
N,14970,39,69,0,0,0,0,0,0
N,14390,34,36,0,0,0,0,0,0
N,6790,-37,-2,0,0,0,0,0,0
W,38430,54,-10,0,0,0,0,0,0
W,29380,18,-15,0,0,0,0,0,0
W,35720,43,-32,0,0,0,0,0,0
W,22990,-8,-12,0,0,0,0,0,0
W,15190,-39,-18,0,0,0,0,0,0
W,34750,36,-17,0,0,0,0,0,0
W,84880,233,82,1,0,0,0,800,0
W,45560,79,33,0,0,0,0,0,0
W,36940,45,-1,0,0,0,0,0,0
W,28960,14,0,1,0,0,0,300,0
W,22260,-13,11,1,0,0,0,900,0
W,14370,-44,-24,1,0,0,0,400,0
W,16480,-35,-10,0,0,0,0,0,0
N,14300,33,14,0,0,0,0,0,0
N,12280,14,20,0,0,0,0,0,0
N,11140,4,22,0,0,0,0,0,0
N,4500,-58,-14,0,0,0,0,0,0
N,7400,-31,-15,0,0,0,0,0,0
N,9380,-13,-3,0,0,0,0,0,0
N,11550,8,-16,1,0,0,0,600,0
N,10070,-6,0,0,0,0,0,0,0
N,5940,-41,-21,0,0,0,0,0,0
N,7860,-21,-28,0,0,0,0,0,0
N,5420,-46,-29,0,0,0,0,0,0
N,7440,-26,-43,0,0,0,0,0,0
N,8550,-15,-11,0,0,0,0,0,0
N,11150,11,-12,0,0,0,0,0,0
N,6510,-35,-19,0,0,0,0,0,0
N,5000,-50,-29,0,0,0,0,0,0
N,6550,-33,-29,0,0,0,0,0,0
N,5880,-40,-24,0,0,0,0,0,0
N,8290,-15,0,0,0,0,0,0,0
N,6790,-30,-15,0,0,0,0,0,0
N,7170,-27,-26,0,0,0,0,0,0
N,8780,-10,-1,0,0,0,0,0,0
W,16980,-30,-38,0,0,0,0,0,0
W,21910,-10,-4,1,0,0,0,300,0
W,28130,15,-28,1,1,0,0,6000,0
W,28210,15,47,0,0,0,0,0,0
W,21060,-14,-42,0,0,0,0,0,1
W,22130,-10,-7,2,0,0,0,30300,0
N,9860,7,46,0,0,0,0,0,0
W,18830,-23,-52,0,0,0,0,0,0
W,34360,40,44,0,0,0,0,0,0
N,15640,67,72,0,0,0,0,0,0
N,19760,114,101,0,0,0,0,0,0
N,11660,26,49,0,0,0,0,0,0
W,17390,-31,-32,1,0,0,0,600,0
W,41300,64,-17,1,1,0,0,4000,0
W,26880,6,-22,0,0,0,0,0,0
W,30820,22,-4,0,0,0,0,0,0
W,20610,-18,-33,0,0,0,0,0,0
W,47470,88,14,0,0,0,0,0,0
W,49510,89,27,0,0,0,0,0,1
